Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,SUMMARY TERM SHEET,1,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,The Parties,1,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,The Special Meeting,1,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,The Merger,1,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement,2,9,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,How to Vote,2,9,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Recommendation of the Board; Reasons for Recommending the Adoption of the Merger Agreement,3,10,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Merger Support Agreement,3,10,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Opinion of Goldman Sachs & Co. LLC,3,10,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,"Opinion of Guggenheim Securities, LLC",4,11,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Market Price and Dividend Data,4,11,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Certain Effects of the Merger,5,12,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Consequences if the Merger is Not Completed,5,12,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Treatment of Outstanding Equity Awards; Company ESPP,5,12,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Interests of Directors and Executive Officers in the Merger,6,13,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Regulatory Approvals,7,14,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Conditions to the Merger,7,14,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Treatment of Existing Debt; Financing,8,15,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,No Solicitation,8,15,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Termination of the Merger Agreement,9,16,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Termination Fees,10,17,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Appraisal Rights,10,17,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,11,18,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Additional Information,11,18,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,12,19,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,19,26,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,PARTIES TO THE MERGER,20,27,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Magellan,20,27,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Centene,20,27,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Merger Sub,20,27,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,THE SPECIAL MEETING,21,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,"Date, Time and Place of the Special Meeting",21,28,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Purpose of the Special Meeting,21,28,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Recommendation of the Board,21,10,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Record Date and Quorum,21,28,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Vote Required for Approval,22,29,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Effect of Abstentions; Broker Non-Votes,22,29,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,How to Vote,23,30,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Revocation of Proxies,24,31,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Adjournments and Postponements,24,31,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Solicitation of Proxies,24,31,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Questions and Additional Information,25,32,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,26,33,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,PROPOSAL 2: NON-BINDING MERGER-RELATED COMPENSATION PROPOSAL,27,34,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,PROPOSAL 3: AUTHORITY TO ADJOURN THE SPECIAL MEETING,28,35,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,THE MERGER,29,8,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Overview,29,36,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Background of the Merger,29,36,UNDEFINED,UNDEFINED
MAGELLAN HEALTH INC_20210219_DEFM14A_19054835_4126183.Pdf,Recommendation of the Board,43,50,UNDEFINED,UNDEFINED
